account_id,district_id,frequency,date,bank_id
576,55,POPLATEK MESICNE,930101,2
3818,74,POPLATEK MESICNE,930101,2
704,55,POPLATEK MESICNE,930101,3
2378,16,POPLATEK MESICNE,930101,3
2632,24,POPLATEK MESICNE,930102,1
1972,77,POPLATEK MESICNE,930102,2
1539,1,POPLATEK PO OBRATU,930103,3
793,47,POPLATEK MESICNE,930103,1
2484,74,POPLATEK MESICNE,930103,3
1695,76,POPLATEK MESICNE,930103,2
1726,48,POPLATEK MESICNE,930103,3
2881,70,POPLATEK MESICNE,930104,3
2357,19,POPLATEK MESICNE,930104,1
2177,62,POPLATEK MESICNE,930104,3
485,6,POPLATEK PO OBRATU,930104,1
652,21,POPLATEK MESICNE,930105,1
9635,70,POPLATEK MESICNE,930105,3
1844,44,POPLATEK MESICNE,930106,2
1926,37,POPLATEK MESICNE,930106,3
2393,10,POPLATEK MESICNE,930107,3
3510,41,POPLATEK MESICNE,930107,3
1276,36,POPLATEK MESICNE,930107,1
1637,1,POPLATEK MESICNE,930108,3
3871,26,POPLATEK MESICNE,930108,3
192,55,POPLATEK MESICNE,930108,3
764,1,POPLATEK MESICNE,930108,3
2087,7,POPLATEK TYDNE,930108,2
2122,68,POPLATEK MESICNE,930108,3
3592,54,POPLATEK MESICNE,930108,2
3487,41,POPLATEK MESICNE,930108,2
435,38,POPLATEK MESICNE,930108,3
1730,1,POPLATEK MESICNE,930109,1
1493,41,POPLATEK MESICNE,930109,2
374,38,POPLATEK MESICNE,930109,1
2925,1,POPLATEK MESICNE,930110,1
866,9,POPLATEK MESICNE,930110,3
1628,60,POPLATEK MESICNE,930110,3
2379,44,POPLATEK MESICNE,930110,1
1979,26,POPLATEK MESICNE,930111,1
346,37,POPLATEK MESICNE,930111,1
1338,74,POPLATEK MESICNE,930111,2
1909,14,POPLATEK MESICNE,930112,2
2099,3,POPLATEK TYDNE,930112,3
3760,44,POPLATEK MESICNE,930113,3
5270,44,POPLATEK MESICNE,930113,2
1699,53,POPLATEK MESICNE,930114,3
3909,1,POPLATEK MESICNE,930114,2
2926,50,POPLATEK MESICNE,930114,2
1731,33,POPLATEK MESICNE,930114,2
11265,15,POPLATEK MESICNE,930114,3
2519,4,POPLATEK MESICNE,930115,2
10364,55,POPLATEK MESICNE,930117,3
1481,15,POPLATEK MESICNE,930117,3
401,32,POPLATEK MESICNE,930118,3
4034,1,POPLATEK MESICNE,930118,1
2330,54,POPLATEK MESICNE,930119,3
1806,40,POPLATEK MESICNE,930119,2
3834,54,POPLATEK MESICNE,930119,1
1222,66,POPLATEK MESICNE,930120,2
212,27,POPLATEK TYDNE,930120,1
456,49,POPLATEK MESICNE,930121,1
459,47,POPLATEK MESICNE,930121,2
772,45,POPLATEK MESICNE,930121,2
1019,52,POPLATEK MESICNE,930121,2
11295,74,POPLATEK MESICNE,930121,1
2970,60,POPLATEK MESICNE,930122,2
2676,73,POPLATEK MESICNE,930122,3
1536,41,POPLATEK TYDNE,930122,2
1179,74,POPLATEK MESICNE,930123,3
