disp_id,client_id,account_id,type,bank_id
1,1,1,OWNER,2
2,2,2,OWNER,3
3,3,2,DISPONENT,3
4,4,3,OWNER,1
5,5,3,DISPONENT,1
6,6,4,OWNER,3
7,7,5,OWNER,2
8,8,6,OWNER,2
9,9,7,OWNER,2
10,10,8,OWNER,2
11,11,8,DISPONENT,2
12,12,9,OWNER,3
13,13,10,OWNER,1
14,14,11,OWNER,3
15,15,12,OWNER,1
16,16,12,DISPONENT,1
17,17,13,OWNER,2
18,18,13,DISPONENT,2
19,19,14,OWNER,1
20,20,15,OWNER,2
21,21,16,OWNER,1
22,22,17,OWNER,2
23,23,17,DISPONENT,2
24,24,18,OWNER,3
25,25,19,OWNER,3
26,26,20,OWNER,3
27,27,21,OWNER,2
28,28,22,OWNER,2
29,29,23,OWNER,2
30,30,24,OWNER,3
31,31,25,OWNER,1
32,32,26,OWNER,2
33,33,27,OWNER,2
36,36,29,OWNER,1
37,37,29,DISPONENT,1
38,38,30,OWNER,1
39,39,31,OWNER,3
40,40,32,OWNER,1
41,41,33,OWNER,1
42,42,34,OWNER,2
43,43,35,OWNER,2
44,44,36,OWNER,3
45,45,37,OWNER,1
46,46,38,OWNER,2
47,47,39,OWNER,3
48,48,40,OWNER,1
49,49,41,OWNER,3
50,50,42,OWNER,1
51,51,43,OWNER,1
52,52,44,OWNER,3
53,53,45,OWNER,3
55,55,47,OWNER,2
56,56,48,OWNER,2
57,57,48,DISPONENT,2
58,58,49,OWNER,3
59,59,50,OWNER,1
60,60,51,OWNER,1
61,61,52,OWNER,1
62,62,53,OWNER,3
63,63,54,OWNER,2
64,64,55,OWNER,1
65,65,56,OWNER,1
66,66,57,OWNER,2
67,67,58,OWNER,2
68,68,59,OWNER,3
70,70,61,OWNER,1
71,71,61,DISPONENT,1
72,72,62,OWNER,3
73,73,63,OWNER,1
74,74,63,DISPONENT,1
75,75,64,OWNER,1
76,76,65,OWNER,2
77,77,66,OWNER,2
78,78,67,OWNER,1
79,79,68,OWNER,3
80,80,69,OWNER,1
81,81,70,OWNER,1
82,82,70,DISPONENT,1
83,83,71,OWNER,3
84,84,71,DISPONENT,3
85,85,72,OWNER,1
86,86,72,DISPONENT,1
87,87,73,OWNER,3
89,89,75,OWNER,2
90,90,76,OWNER,3
91,91,77,OWNER,2
92,92,78,OWNER,2
93,93,79,OWNER,1
94,94,80,OWNER,1
95,95,80,DISPONENT,1
96,96,81,OWNER,3
97,97,82,OWNER,1
98,98,83,OWNER,1
99,99,83,DISPONENT,1
100,100,84,OWNER,2
101,101,85,OWNER,1
102,102,86,OWNER,2
103,103,86,DISPONENT,2
105,105,88,OWNER,2
106,106,89,OWNER,2
107,107,90,OWNER,3
108,108,91,OWNER,2
110,110,93,OWNER,3
112,112,95,OWNER,2
113,113,95,DISPONENT,2
114,114,96,OWNER,1
115,115,96,DISPONENT,1
116,116,97,OWNER,3
117,117,97,DISPONENT,3
118,118,98,OWNER,2
119,119,98,DISPONENT,2
120,120,99,OWNER,2
121,121,100,OWNER,3
122,122,101,OWNER,2
123,123,102,OWNER,2
124,124,103,OWNER,1
125,125,104,OWNER,3
