,0,1,2,3,4
0,2632,24,POPLATEK MESICN,930102,1
1,793,47,POPLATEK MESICN,930103,1
2,2357,19,POPLATEK MESICN,930104,1
3,485,6,POPLATEK PO OBR,930104,1
4,652,21,POPLATEK MESICN,930105,1
5,1276,36,POPLATEK MESICN,930107,1
6,1730,1,POPLATEK MESICN,930109,1
7,374,38,POPLATEK MESICN,930109,1
8,2925,1,POPLATEK MESICN,930110,1
9,2379,44,POPLATEK MESICN,930110,1
10,1979,26,POPLATEK MESICN,930111,1
11,346,37,POPLATEK MESICN,930111,1
12,4034,1,POPLATEK MESICN,930118,1
13,3834,54,POPLATEK MESICN,930119,1
14,212,27,POPLATEK TYDNE,930120,1
15,456,49,POPLATEK MESICN,930121,1
16,11295,74,POPLATEK MESICN,930121,1
17,280,25,POPLATEK MESICN,930123,1
18,2425,41,POPLATEK MESICN,930123,1
19,9307,68,POPLATEK MESICN,930124,1
20,4055,23,POPLATEK MESICN,930124,1
21,5065,66,POPLATEK MESICN,930124,1
22,3704,75,POPLATEK MESICN,930124,1
23,477,1,POPLATEK MESICN,930125,1
24,1649,46,POPLATEK MESICN,930126,1
25,1127,27,POPLATEK MESICN,930127,1
26,2566,48,POPLATEK MESICN,930127,1
27,2902,32,POPLATEK MESICN,930128,1
28,443,64,POPLATEK MESICN,930128,1
29,3693,61,POPLATEK MESICN,930129,1
30,1843,12,POPLATEK MESICN,930130,1
31,4078,40,POPLATEK MESICN,930130,1
32,5868,44,POPLATEK MESICN,930202,1
33,4484,54,POPLATEK MESICN,930203,1
34,982,54,POPLATEK MESICN,930205,1
35,890,14,POPLATEK MESICN,930205,1
36,627,63,POPLATEK MESICN,930205,1
37,2429,61,POPLATEK MESICN,930206,1
38,2647,73,POPLATEK MESICN,930208,1
39,2241,6,POPLATEK MESICN,930208,1
40,5622,70,POPLATEK MESICN,930208,1
41,2884,1,POPLATEK MESICN,930208,1
42,1006,6,POPLATEK MESICN,930208,1
43,2585,75,POPLATEK MESICN,930210,1
44,2220,16,POPLATEK MESICN,930210,1
45,2763,64,POPLATEK MESICN,930211,1
46,1966,27,POPLATEK MESICN,930212,1
47,2543,68,POPLATEK MESICN,930213,1
48,11013,1,POPLATEK TYDNE,930214,1
49,2423,30,POPLATEK MESICN,930214,1
50,142,51,POPLATEK MESICN,930215,1
51,3047,16,POPLATEK MESICN,930217,1
52,3374,21,POPLATEK MESICN,930217,1
53,96,68,POPLATEK MESICN,930218,1
54,2433,71,POPLATEK MESICN,930219,1
55,3691,50,POPLATEK MESICN,930219,1
56,3787,70,POPLATEK MESICN,930219,1
57,925,59,POPLATEK MESICN,930223,1
58,2110,64,POPLATEK MESICN,930223,1
59,1050,57,POPLATEK PO OBR,930224,1
60,496,69,POPLATEK MESICN,930226,1
61,3651,23,POPLATEK MESICN,930227,1
62,361,51,POPLATEK MESICN,930227,1
63,9203,70,POPLATEK MESICN,930227,1
64,415,25,POPLATEK MESICN,930303,1
65,3513,20,POPLATEK MESICN,930303,1
66,4134,7,POPLATEK MESICN,930303,1
67,1077,14,POPLATEK MESICN,930303,1
68,1713,43,POPLATEK MESICN,930303,1
69,1378,59,POPLATEK MESICN,930304,1
70,2503,1,POPLATEK MESICN,930305,1
71,6555,38,POPLATEK TYDNE,930305,1
72,882,9,POPLATEK MESICN,930306,1
73,944,70,POPLATEK MESICN,930308,1
74,2453,1,POPLATEK MESICN,930308,1
75,2219,60,POPLATEK MESICN,930311,1
76,2458,40,POPLATEK TYDNE,930314,1
77,588,66,POPLATEK MESICN,930314,1
78,6701,49,POPLATEK TYDNE,930315,1
79,860,1,POPLATEK MESICN,930319,1
80,6034,6,POPLATEK TYDNE,930319,1
81,115,68,POPLATEK MESICN,930319,1
82,1189,59,POPLATEK MESICN,930319,1
83,3069,66,POPLATEK MESICN,930320,1
84,2651,2,POPLATEK MESICN,930321,1
85,3678,1,POPLATEK MESICN,930324,1
86,1721,68,POPLATEK MESICN,930325,1
87,3283,68,POPLATEK MESICN,930326,1
88,4347,1,POPLATEK MESICN,930327,1
89,3586,59,POPLATEK MESICN,930327,1
90,1771,69,POPLATEK MESICN,930328,1
91,423,12,POPLATEK MESICN,930328,1
92,6425,31,POPLATEK MESICN,930329,1
93,3923,52,POPLATEK MESICN,930330,1
94,3367,1,POPLATEK MESICN,930401,1
95,3980,75,POPLATEK MESICN,930403,1
96,299,77,POPLATEK MESICN,930405,1
97,2985,71,POPLATEK MESICN,930406,1
98,385,5,POPLATEK MESICN,930407,1
99,2817,56,POPLATEK MESICN,930407,1
100,2002,1,POPLATEK MESICN,930408,1
101,748,10,POPLATEK MESICN,930408,1
102,3788,70,POPLATEK MESICN,930410,1
103,1239,1,POPLATEK MESICN,930410,1
104,8321,77,POPLATEK MESICN,930412,1
105,2838,3,POPLATEK TYDNE,930413,1
106,3644,38,POPLATEK MESICN,930413,1
107,2313,26,POPLATEK TYDNE,930413,1
108,5428,24,POPLATEK MESICN,930414,1
109,7123,64,POPLATEK PO OBR,930414,1
110,497,55,POPLATEK MESICN,930415,1
111,83,26,POPLATEK MESICN,930416,1
112,2008,52,POPLATEK MESICN,930416,1
113,5740,43,POPLATEK MESICN,930416,1
114,8132,5,POPLATEK TYDNE,930417,1
115,1815,66,POPLATEK MESICN,930417,1
116,1166,11,POPLATEK MESICN,930421,1
117,504,73,POPLATEK MESICN,930421,1
118,1518,67,POPLATEK MESICN,930421,1
119,2876,52,POPLATEK MESICN,930422,1
120,9707,70,POPLATEK MESICN,930424,1
121,897,38,POPLATEK MESICN,930426,1
122,928,20,POPLATEK MESICN,930426,1
123,10105,55,POPLATEK MESICN,930428,1
124,5472,1,POPLATEK MESICN,930504,1
125,2932,72,POPLATEK MESICN,930504,1
126,10656,8,POPLATEK MESICN,930505,1
127,4743,64,POPLATEK MESICN,930505,1
128,1048,35,POPLATEK MESICN,930505,1
129,1671,6,POPLATEK MESICN,930505,1
130,2037,20,POPLATEK MESICN,930506,1
131,3050,60,POPLATEK MESICN,930508,1
132,1784,59,POPLATEK MESICN,930508,1
133,1644,1,POPLATEK MESICN,930509,1
134,1658,73,POPLATEK MESICN,930510,1
135,2410,54,POPLATEK MESICN,930511,1
136,2061,24,POPLATEK MESICN,930512,1
137,3181,42,POPLATEK MESICN,930516,1
138,3210,1,POPLATEK MESICN,930517,1
139,947,59,POPLATEK MESICN,930517,1
140,1610,52,POPLATEK MESICN,930517,1
141,1180,20,POPLATEK MESICN,930519,1
142,2711,58,POPLATEK MESICN,930519,1
143,3844,67,POPLATEK MESICN,930523,1
144,1442,23,POPLATEK MESICN,930523,1
145,334,1,POPLATEK MESICN,930524,1
146,1272,40,POPLATEK TYDNE,930525,1
147,2436,67,POPLATEK MESICN,930525,1
148,3063,72,POPLATEK MESICN,930526,1
149,3888,39,POPLATEK MESICN,930527,1
150,2962,1,POPLATEK MESICN,930530,1
151,165,25,POPLATEK MESICN,930601,1
152,327,54,POPLATEK MESICN,930602,1
153,2068,21,POPLATEK MESICN,930602,1
154,1285,65,POPLATEK MESICN,930604,1
155,1743,51,POPLATEK MESICN,930604,1
156,3072,8,POPLATEK MESICN,930605,1
157,2146,31,POPLATEK MESICN,930605,1
158,2176,67,POPLATEK MESICN,930606,1
159,8934,51,POPLATEK MESICN,930606,1
160,701,69,POPLATEK MESICN,930608,1
161,774,1,POPLATEK MESICN,930608,1
162,3566,21,POPLATEK MESICN,930609,1
163,10266,54,POPLATEK MESICN,930610,1
164,433,20,POPLATEK MESICN,930612,1
165,1373,47,POPLATEK MESICN,930612,1
166,2779,73,POPLATEK MESICN,930615,1
167,9093,47,POPLATEK MESICN,930616,1
168,2880,71,POPLATEK MESICN,930616,1
169,1998,1,POPLATEK MESICN,930617,1
170,3969,39,POPLATEK MESICN,930620,1
171,1277,31,POPLATEK MESICN,930620,1
172,738,34,POPLATEK MESICN,930621,1
173,1299,1,POPLATEK MESICN,930621,1
174,148,8,POPLATEK MESICN,930621,1
175,886,1,POPLATEK MESICN,930623,1
176,702,12,POPLATEK MESICN,930623,1
177,2940,54,POPLATEK MESICN,930624,1
178,885,1,POPLATEK MESICN,930625,1
179,2697,8,POPLATEK MESICN,930626,1
180,8129,45,POPLATEK MESICN,930626,1
181,9034,1,POPLATEK MESICN,930628,1
182,2552,52,POPLATEK MESICN,930701,1
183,2464,33,POPLATEK PO OBR,930702,1
184,381,68,POPLATEK MESICN,930704,1
185,1852,35,POPLATEK MESICN,930705,1
186,2705,63,POPLATEK PO OBR,930705,1
